dataset,doc_name,number_of_chunks,characters_mean,characters_median,characters_std,characters_min,characters_q1,characters_q3,characters_p95,characters_max,words_mean,words_median,words_std,words_min,words_q1,words_q3,words_p95,words_max,tokens_available,tokens_mean,tokens_median,tokens_std,tokens_min,tokens_q1,tokens_q3,tokens_p95,tokens_max
ESRS,ING,118,2292.39,1991.5,1569.2,224,930.5,3580.25,4696.6,6530,339.25,290.5,233.25,33,132.75,546.75,698.45,949,True,471.19,381.5,342.26,42,177.25,766.75,1073.5,1302
ESRS,Intesa Sanpaolo,307,4044.21,2744,5233.72,38,1660.0,4724.0,10228.3,69001,590.42,350,825.83,5,240.5,716.5,1614.8,10636,True,854.46,531,1323.74,6,335.0,954.0,2344.6,17208
ESRS,KBC Group,60,5694.28,2557.0,6217.43,141,1740.5,7445.25,20279.75,22747,840.45,399.0,910.09,24,252.75,1085.5,2896.9,3317,True,1173.2,557.0,1323.32,36,340.0,1442.5,3844.35,5515
ESRS,KfW,72,8425.39,5497.0,8244.42,268,2305.25,11178.75,23940.7,38375,1247.43,791.0,1226.17,39,337.25,1653.5,3557.8,5596,True,1865.29,1049.0,2043.29,53,480.5,2366.25,6465.1,8303
ESRS,Nordea Bank,61,1708.64,1185,1633.79,163,575.0,2179.0,5215.0,8055,249.77,176,237.6,22,86.0,308.0,775.0,1130,True,341.93,253,327.92,31,119.0,432.0,1017.0,1574
ESRS,OTP Bank,197,4513.29,2443,5670.58,143,1452.0,5669.0,13445.8,44006,666.41,354,854.38,23,218.0,748.0,2179.2,6488,True,1248.27,565,1801.73,25,282.0,1216.0,6361.0,9649
ESRS,PKO Bank Polski,136,4069.86,2403.5,5401.82,113,1311.75,5310.25,10785.75,47594,602.64,353.0,786.53,15,200.0,755.5,1580.0,6659,True,1038.41,587.0,1447.48,18,330.75,1119.75,3900.0,10172
ESRS,Pekao,111,5019.99,2287,7059.6,309,1260.5,6125.5,16487.5,52555,771.05,364,1118.61,45,194.0,942.5,2351.5,8961,True,1420.86,654,1935.96,89,337.5,2052.5,3674.0,16155
ESRS,Raiffeisen Bank International,338,3718.81,1866.0,9742.83,23,999.0,3334.5,10216.65,129477,558.07,273.0,1393.74,2,148.25,533.75,1586.5,17904,True,855.1,457.0,1997.71,4,186.25,909.0,2516.45,22834
ESRS,Santander,128,6918.79,3226.0,11851.38,1,1024.0,7954.25,22988.55,90062,891.91,486.0,1492.66,1,136.5,1049.5,2929.05,11228,True,1562.09,799.0,2369.49,1,249.75,2093.0,5281.45,17148
ESRS,Societe Generale,28,19794.39,14150.5,17058.16,2111,7605.0,29345.0,52309.75,60970,2851.86,2054.5,2448.53,297,1104.0,3980.75,7524.1,8803,True,4268.68,3181.0,3669.43,408,1634.25,6058.75,11223.5,13741
ESRS,Swedbank,186,3676.01,2011.0,6676.95,204,1100.25,3658.75,12196.25,72378,542.45,304.0,989.07,32,156.5,551.75,1647.0,10981,True,842.47,402.5,1774.54,43,217.5,775.0,2483.75,19815
ESRS,UniCredit,94,11301.36,2456.5,20096.3,107,1477.25,8089.75,58516.15,105793,1762.16,372.0,3046.27,13,225.5,1213.25,8349.6,15201,True,2590.98,616.5,4362.55,21,310.25,1604.5,12218.55,20935
ESRS,Total,2968,5256.85,2295.5,10683.24,1,1099.75,4641.5,19744.75,129477,773.75,325.5,1564.29,1,160.75,680.0,2940.15,18579,True,1238.79,498.5,2567.62,1,225.0,1055.0,5455.65,30607
FinanceBench,3M_2018_10K,66,9479.82,2978.0,15721.58,9,780.25,11556.5,37057.0,81891,1379.86,414.5,2370.36,2,108.75,1622.75,5377.0,12744,True,2140.12,762.0,3484.42,4,153.25,2440.0,9093.5,17913
FinanceBench,3M_2022_10K,214,5034.13,1536.0,13629.12,42,571.0,3877.5,20052.95,126584,769.87,233.0,2073.76,5,81.75,599.0,3053.85,19277,True,1061.27,305.5,2779.85,6,117.0,870.0,4249.5,25588
FinanceBench,3M_2023Q2_10Q,36,9861.31,2834.5,24255.94,29,1385.0,6518.5,31979.0,141736,1494.25,465.5,3695.98,4,211.5,969.75,4799.0,21671,True,2167.58,705.0,4977.01,5,323.0,1468.0,7609.0,29031
FinanceBench,ADOBE_2016_10K,54,8012.5,2726.0,17571.46,64,1236.0,6318.25,45731.65,83881,1201.11,433.5,2607.49,11,181.5,943.75,6860.7,12581,True,1729.35,680.5,3385.36,23,343.75,1652.25,8484.15,17504
FinanceBench,ADOBE_2022_10K,29,13237.79,1360,31155.06,33,192.0,3152.0,80259.2,128316,1961.1,218,4612.81,5,29.0,457.0,11603.0,19263,True,2734.38,318,6448.56,11,51.0,792.0,14587.4,28719
FinanceBench,AES_2022_10K,195,4714.88,1709,10797.08,31,568.0,4064.0,20524.3,89719,726.05,263,1637.02,5,82.5,627.0,3062.3,13278,True,1028.6,364,2302.74,10,111.5,932.0,3985.6,19373
FinanceBench,AMAZON_2017_10K,27,11338.07,1940,26766.63,53,264.5,7221.5,54721.8,126223,1705.15,299,4064.21,10,39.0,1082.5,8237.8,19228,True,2576.33,391,6213.48,16,50.5,1639.0,11540.0,30160
FinanceBench,AMAZON_2019_10K,30,9851.03,1348.0,24103.95,52,291.0,6379.5,49999.3,118998,1472.07,204.5,3620.84,8,44.5,964.75,7387.35,17976,True,2227.7,346.0,5598.79,11,60.75,1369.75,10111.05,28680
FinanceBench,AMCOR_2020_10K,226,2571.4,1203.5,5994.2,50,634.75,2344.0,9423.0,62792,403.94,191.5,934.31,7,103.25,372.0,1464.0,9750,True,580.0,261.0,1315.83,10,141.25,570.75,2011.75,14346
FinanceBench,AMCOR_2022_8K_dated-2022-07-01,20,1198.6,801.0,975.32,299,433.0,1794.75,3016.6,3161,187.45,119.0,160.57,46,61.75,284.5,504.0,504,True,278.75,163.0,230.27,62,105.75,441.25,612.9,820
FinanceBench,AMCOR_2023Q2_10Q,29,4305.17,1361,9051.33,9,509.0,5086.0,12340.0,47953,675.31,272,1426.01,2,78.0,776.0,1978.4,7544,True,1011.41,432,2056.03,3,116.0,1189.0,2989.2,10863
FinanceBench,AMCOR_2023Q4_EARNINGS,20,2181.4,1540.0,1568.92,615,1034.5,3043.25,4672.5,6012,335.6,237.0,242.0,86,162.75,455.0,739.6,960,True,568.65,386.5,486.8,111,255.75,824.25,1489.35,2047
FinanceBench,AMCOR_2023_10K,35,14182.8,1621,34777.92,42,392.5,4947.5,83088.3,147990,2209.23,240,5530.89,7,57.5,771.5,12641.8,24211,True,3044.17,399,7483.77,14,78.5,1113.5,17301.8,31548
FinanceBench,AMD_2022_10K,29,14638.55,1670,32703.25,38,283.0,4735.0,91926.0,129290,2212.38,251,4950.43,6,35.0,739.0,13767.8,19686,True,3048.28,357,6646.91,12,59.0,1126.0,16938.8,28368
FinanceBench,AMERICANEXPRESS_2022_10K,185,4501.68,1508,10773.65,8,555.0,3550.0,15141.8,97931,697.19,245,1644.79,2,83.0,558.0,2391.4,14440,True,969,333,2248.29,2,116.0,755.0,3958.0,17446
FinanceBench,AMERICANWATERWORKS_2020_10K,117,5552.21,1502,16170.07,17,860.0,3374.0,17582.6,104120,803.71,220,2316.7,3,121.0,526.0,2673.0,15111,True,1276.96,356,3586.15,3,190.0,831.0,4269.6,24219
FinanceBench,BESTBUY_2017_10K,158,2385.99,1426.0,3999.73,23,564.0,2671.5,6996.15,42007,364.14,224.0,592.95,4,90.25,410.25,1042.95,6159,True,901.73,552.0,1419.95,5,209.5,1020.25,2773.55,14237
FinanceBench,BESTBUY_2019_10K,163,2341.91,1366,4080.47,63,698.5,2717.5,6587.1,45658,356.21,205,604.67,9,102.0,421.5,998.5,6718,True,878.75,487,1436.55,15,246.0,1052.0,2607.5,15545
FinanceBench,BESTBUY_2023_10K,29,10784.45,1352,24577.43,24,212.0,8048.0,57561.4,113005,1617.93,217,3661.32,4,30.0,1209.0,8659.6,16763,True,2327.55,297,5284.79,9,40.0,1885.0,11395.2,25123
FinanceBench,BESTBUY_2024Q2_10Q,10,10228.7,3015.0,16040.51,32,1229.5,8286.25,40137.15,47523,1533.8,482.0,2395.36,6,182.5,1286.25,5968.5,7233,True,2486.4,708.0,3854.27,11,316.75,1926.0,9743.45,10778
FinanceBench,BLOCK_2016_10K,146,2476.72,1385.0,6218.81,0,554.25,2440.25,5118.25,64844,368.38,207.5,924.64,0,79.0,356.0,767.25,9585,True,945.89,522,2439.04,11,209.0,886.0,1866.0,25459
FinanceBench,BLOCK_2020_10K,163,3301.05,1838,7537.77,35,808.5,3542.0,6978.4,80914,493.64,275,1124.33,5,116.0,527.0,1037.9,12118,True,1236.76,682,2864.68,10,280.5,1325.0,2799.9,31254
FinanceBench,BOEING_2018_10K,61,6437.92,2217,14012.96,6,1190.0,5963.0,22531.0,90567,920.31,325,1984.38,2,186.0,875.0,3304.0,12901,True,1589.51,595,3267.13,2,332.0,1484.0,5837.0,21863
FinanceBench,BOEING_2022_10K,66,7914.7,1851.5,20531.71,17,557.75,3920.25,38126.0,124927,1203.88,277.0,3177.32,3,86.75,585.5,5702.5,19918,True,1724.18,477.0,4401.9,3,159.5,876.75,7318.0,27635
FinanceBench,COCACOLA_2021_10K,141,4978.26,1356,15457.58,30,718.0,3070.0,14004.0,126957,771.85,208,2386.29,4,110.0,465.0,2268.0,19303,True,1058.26,284,3184.61,10,143.0,666.0,3283.0,25029
FinanceBench,CORNING_2021_10K,219,1927.13,1089,2749.22,7,571.5,2170.0,5846.9,23078,278.27,167,400.26,2,82.5,310.5,813.5,3368,True,744.83,415,1084.18,2,217.0,831.5,2235.1,9591
FinanceBench,CORNING_2022_10K,200,2452.05,1219.5,3689.78,34,590.0,2613.25,8727.3,24908,366.12,180.0,561.96,5,84.5,385.5,1319.45,3995,True,533.12,249.0,874.46,10,110.25,567.75,2176.8,5280
FinanceBench,COSTCO_2021_10K,27,8454.56,843,19520.16,39,244.0,4908.5,38091.7,92580,1265.41,123,2937.38,5,31.5,693.0,5613.5,13987,True,1807.78,197,4228.21,12,50.0,1241.5,7041.2,20697
FinanceBench,CVSHEALTH_2022_10K,266,3279.21,1322.0,12939.01,54,701.0,2390.75,6535.5,157247,489.5,195.0,1933.17,9,102.0,367.75,997.5,23411,True,672.27,249.5,2581.76,16,127.25,500.25,1395.5,28457
FinanceBench,FOOTLOCKER_2022_8K_dated-2022-05-20,5,1325.2,894,1289.63,130,383.0,1957.0,3001.0,3262,200.2,133,195.8,25,51.0,298.0,454.8,494,True,361.2,181,394.46,35,90.0,518.0,889.2,982
FinanceBench,FOOTLOCKER_2022_8K_dated_2022-08-19,42,2035.26,993.0,2514.92,203,419.75,2229.25,7947.2,10543,321.93,160.5,398.45,30,67.5,361.25,1271.9,1709,True,424.38,210.0,524.97,42,101.25,499.25,1645.35,2214
FinanceBench,GENERALMILLS_2020_10K,96,4668.69,1499.5,13638.63,45,670.5,3059.0,11511.25,100972,708.8,218.0,2122.92,7,101.5,451.25,1727.75,15366,True,1087.71,339.5,3038.65,13,131.5,850.5,3036.0,23231
FinanceBench,JOHNSON_JOHNSON_2022Q4_EARNINGS,27,2650.85,1712,2904.99,169,962.5,3247.0,8890.0,12320,267.33,206,244.6,22,126.0,317.5,703.1,1168,True,729.96,475,866.11,36,302.5,725.0,1889.0,4309
FinanceBench,JOHNSON_JOHNSON_2022_10K,116,4469.62,1462.0,10500.96,8,488.0,3172.0,15917.75,70778,675.16,219.0,1602.13,1,72.5,485.75,2461.75,11093,True,991.12,348.5,2329.63,2,112.25,771.25,3456.25,16388
FinanceBench,JOHNSON_JOHNSON_2023Q2_EARNINGS,19,3557.47,658,7483.46,173,459.0,3217.0,15413.3,31778,369.53,103,799.44,22,67.0,304.5,1083.3,3570,True,974.95,237,2310.04,37,93.5,740.5,2930.2,10258
FinanceBench,JOHNSON_JOHNSON_2023_8K_dated-2023-08-30,21,2760.71,1448,3974.58,259,365.0,3087.0,7244.0,17975,407.48,200,604.8,39,51.0,426.0,1058.0,2751,True,855.76,540,1416.39,59,82.0,959.0,2092.0,6532
FinanceBench,JPMORGAN_2021Q1_10Q,273,2217.82,1502,2524.37,17,783.0,2697.0,6396.6,27960,345.86,224,386.77,2,121.0,422.0,1015.8,4097,True,602.07,386,682.21,2,184.0,785.0,1657.2,5958
FinanceBench,JPMORGAN_2022Q2_10Q,280,2282.54,1555.0,3006.87,17,796.25,2686.25,6269.4,38317,360.19,252.0,454.12,2,118.0,437.75,981.15,5501,True,648.41,395.0,816.74,2,183.5,826.0,1877.0,7976
FinanceBench,JPMORGAN_2022_10K,687,2261.09,1269,3216.06,37,669.5,2647.0,7106.1,33105,353.46,206,495.43,7,107.0,412.5,1137.9,4755,True,544.61,279,790.53,12,142.5,644.5,1890.3,7781
FinanceBench,JPMORGAN_2023Q2_10Q,299,2465.96,1583,2827.25,46,784.0,3174.0,7488.2,28965,390.53,254,439.06,7,118.0,509.5,1142.9,4181,True,698.44,401,828.62,11,180.5,935.5,2361.3,6563
FinanceBench,LOCKHEEDMARTIN_2021_10K,113,4745.92,1416,16022.32,6,591.0,2313.0,11178.0,135337,720.81,217,2414.78,2,92.0,350.0,1715.0,20490,True,988.73,298,3183.67,2,127.0,533.0,2660.8,27512
FinanceBench,LOCKHEEDMARTIN_2022_10K,101,5282.73,1700,16306.14,32,748.0,3362.0,17510.0,135506,793.04,267,2450.25,5,118.0,492.0,2521.0,20616,True,1129.45,374,3297.55,10,181.0,675.0,4049.0,28173
FinanceBench,MGMRESORTS_2018_10K,220,3284.86,885.0,9874.71,37,462.75,2295.5,10774.35,81232,470.08,123.0,1437.67,7,64.0,313.0,1448.55,11989,True,806.04,226.5,2326.48,14,107.5,564.75,2679.7,19441
FinanceBench,MGMRESORTS_2022Q4_EARNINGS,18,2749.5,783.5,5269.39,290,538.75,1617.0,16191.95,18413,401.83,138.0,719.06,46,93.75,264.0,2351.0,2385,True,705.11,245.5,1382.89,75,170.5,401.25,3552.5,5465
FinanceBench,MGMRESORTS_2022_10K,252,2843.81,849.0,9516.68,19,358.5,2170.25,4712.9,84457,439.71,133.5,1464.85,3,58.0,336.5,751.8,12926,True,613.16,193.0,1935.16,6,79.75,469.25,1297.0,17212
FinanceBench,MGMRESORTS_2023Q2_10Q,18,11447.06,6631.0,15160.53,188,1947.75,10482.5,39941.45,55975,1757.44,1005.5,2357.57,26,273.75,1613.75,6165.95,8761,True,2704.72,1456.5,3585.05,37,506.25,2262.75,9879.85,12633
FinanceBench,MICROSOFT_2016_10K,50,8261.14,2858.0,15936.27,43,757.0,6528.25,47254.45,77577,1245.7,419.0,2445.76,7,106.75,978.0,7026.15,11757,True,1813.72,754.5,3218.34,14,228.25,1690.0,8746.2,16260
FinanceBench,MICROSOFT_2023_10K,31,12257.26,507,28755.47,7,159.5,5196.5,68342.0,127469,1702.9,75,3946.0,2,25.0,727.5,9790.0,16917,True,2610.39,107,6335.36,2,43.0,1059.0,12279.0,30698
FinanceBench,NETFLIX_2017_10K,25,9663.88,768,22890.54,52,331.0,3908.0,55212.0,94431,1446.72,110,3430.11,8,43.0,535.0,8317.6,14042,True,2196.32,149,5424.16,11,57.0,1230.0,11669.2,23736
FinanceBench,NIKE_2018_10K,40,10087.6,1705.0,26784.98,6,263.75,4268.0,71369.3,124073,1469.85,238.0,3912.76,2,38.25,663.5,10123.8,18245,True,2295.32,389.5,6116.32,2,57.5,1007.0,14070.2,29315
FinanceBench,NIKE_2019_10K,35,10683.8,1958,26957.57,57,527.0,4180.5,75388.9,125771,1614.37,281,4097.7,8,73.5,664.0,11178.5,19322,True,2313.54,381,5863.71,17,104.0,993.5,14607.1,28383
FinanceBench,NIKE_2023_10K,41,9484.66,2294,25602.57,16,433.0,4430.0,77283.0,121292,1436.12,325,3876.54,3,62.0,660.0,11988.0,18366,True,2084.24,401,5673.8,5,99.0,1014.0,17020.0,28639
FinanceBench,PAYPAL_2022_10K,135,3563.44,1341,10887.69,7,496.0,2763.5,8762.5,83678,532.98,190,1604.33,2,74.5,442.0,1351.0,12396,True,742.27,289,2093.23,2,110.5,626.5,2228.1,16742
FinanceBench,PEPSICO_2021_10K,327,3440.66,1693,5453.62,43,814.5,3592.5,15107.4,40829,556.72,262,884.93,6,130.0,575.5,2494.7,6645,True,776.59,357,1282.78,11,169.5,827.0,3394.8,9390
FinanceBench,PEPSICO_2022_10K,506,2345.43,1255.0,4266.96,27,558.75,2524.0,6598.0,54773,379.37,204.5,699.39,4,91.25,397.0,1032.75,9059,True,524.11,276.0,982.02,8,124.0,546.25,1485.5,12407
FinanceBench,PEPSICO_2023Q1_EARNINGS,12,2969.83,2252.0,2135.11,682,1677.0,3441.75,7093.65,7378,444.42,344.5,301.06,95,275.0,513.5,1024.1,1056,True,787.42,606.0,588.1,173,417.25,1052.75,1760.55,2288
FinanceBench,PEPSICO_2023_8K_dated-2023-05-05,3,2046,2758,1466.89,359,1558.5,2889.5,2994.7,3021,294.33,388,207.97,56,222.0,413.5,433.9,439,True,624,745,483.98,91,418.0,890.5,1006.9,1036
FinanceBench,PEPSICO_2023_8K_dated-2023-05-30,149,3766.09,2200,6046.49,10,774.0,4250.0,13292.2,50751,600.31,341,953.14,2,119.0,671.0,2230.0,7913,True,855.76,444,1384.26,3,164.0,1011.0,2965.6,11965
FinanceBench,PFIZER_2021_10K,153,4770.73,1645,12255.67,16,858.0,4244.0,13621.8,111848,707.25,241,1818.92,3,124.0,669.0,1915.6,16519,True,1046.54,382,2639.11,6,172.0,1024.0,2797.4,24963
FinanceBench,PFIZER_2023Q2_10Q,16,16891.88,1968.5,37332.8,30,930.25,8609.5,106182.25,122002,2516.19,270.0,5578.18,4,144.75,1293.25,15720.5,18422,True,3963.38,643.0,8647.68,8,200.0,1820.5,24505.0,28552
FinanceBench,ULTABEAUTY_2023Q4_EARNINGS,11,1918.91,643,2981.52,395,554.0,2001.0,6463.5,10653,269.91,101,378.71,64,86.5,313.5,853.5,1364,True,526.91,161,831.52,108,148.5,521.0,1814.0,2963
FinanceBench,ULTABEAUTY_2023_10K,30,10794.03,648.5,21730.13,20,170.75,5018.0,54610.55,80885,1634.3,101.0,3291.86,3,21.5,747.25,8494.95,12049,True,2299.73,128.5,4745.83,8,36.25,1043.5,11311.65,19304
FinanceBench,VERIZON_2021_10K,148,3354.01,1269.0,11684.94,6,598.5,2649.0,8059.3,128514,503.37,196.5,1732.01,2,84.75,412.25,1209.25,19118,True,712.99,274.0,2382.85,2,112.75,618.0,1803.7,26528
FinanceBench,VERIZON_2022_10K,144,3436.65,1262.5,12012.87,6,599.75,2637.75,9156.55,130641,510.87,192.0,1770.24,2,84.75,399.0,1349.25,19321,True,726.54,276.0,2440.77,2,117.75,636.0,1911.05,26966
FinanceBench,WALMART_2019_10K,28,16521.96,2650.0,33011.09,26,697.25,7140.0,94892.2,125326,2533.21,410.5,5060.97,5,100.5,1091.5,14774.65,19014,True,3835.57,648.5,7710.32,9,173.25,1804.5,21576.45,30595
FinanceBench,Total,7432,3932.68,1397.5,11464.12,0,624.0,3055.25,11685.75,157247,597.92,216.0,1727.81,0,94.0,467.0,1751.0,24211,True,933.0,338,2530.3,2,142.0,780.0,2906.5,31548
