pdf_file,pdf_path,page_count,error
CVSHEALTH_2022_10K.pdf,data\FinanceBench\CVSHEALTH_2022_10K.pdf,213,
FOOTLOCKER_2022_8K_dated-2022-05-20.pdf,data\FinanceBench\FOOTLOCKER_2022_8K_dated-2022-05-20.pdf,4,
FOOTLOCKER_2022_8K_dated-2022-08-19.pdf,data\FinanceBench\FOOTLOCKER_2022_8K_dated-2022-08-19.pdf,31,
GENERALMILLS_2020_10K.pdf,data\FinanceBench\GENERALMILLS_2020_10K.pdf,127,
JOHNSON_JOHNSON_2022_10K.pdf,data\FinanceBench\JOHNSON_JOHNSON_2022_10K.pdf,151,
JOHNSON_JOHNSON_2022Q4_EARNINGS.pdf,data\FinanceBench\JOHNSON_JOHNSON_2022Q4_EARNINGS.pdf,24,
JOHNSON_JOHNSON_2023_8K_dated-2023-08-30.pdf,data\FinanceBench\JOHNSON_JOHNSON_2023_8K_dated-2023-08-30.pdf,27,
JOHNSON_JOHNSON_2023Q2_EARNINGS.pdf,data\FinanceBench\JOHNSON_JOHNSON_2023Q2_EARNINGS.pdf,24,
JPMORGAN_2021Q1_10Q.pdf,data\FinanceBench\JPMORGAN_2021Q1_10Q.pdf,179,
JPMORGAN_2022_10K.pdf,data\FinanceBench\JPMORGAN_2022_10K.pdf,382,
JPMORGAN_2022Q2_10Q.pdf,data\FinanceBench\JPMORGAN_2022Q2_10Q.pdf,197,
JPMORGAN_2023Q2_10Q.pdf,data\FinanceBench\JPMORGAN_2023Q2_10Q.pdf,217,
LOCKHEEDMARTIN_2021_10K.pdf,data\FinanceBench\LOCKHEEDMARTIN_2021_10K.pdf,136,
LOCKHEEDMARTIN_2022_10K.pdf,data\FinanceBench\LOCKHEEDMARTIN_2022_10K.pdf,130,
MGMRESORTS_2018_10K.pdf,data\FinanceBench\MGMRESORTS_2018_10K.pdf,188,
MGMRESORTS_2022_10K.pdf,data\FinanceBench\MGMRESORTS_2022_10K.pdf,220,
MGMRESORTS_2022Q4_EARNINGS.pdf,data\FinanceBench\MGMRESORTS_2022Q4_EARNINGS.pdf,15,
MGMRESORTS_2023Q2_10Q.pdf,data\FinanceBench\MGMRESORTS_2023Q2_10Q.pdf,62,
MICROSOFT_2016_10K.pdf,data\FinanceBench\MICROSOFT_2016_10K.pdf,121,
MICROSOFT_2023_10K.pdf,data\FinanceBench\MICROSOFT_2023_10K.pdf,116,
NETFLIX_2017_10K.pdf,data\FinanceBench\NETFLIX_2017_10K.pdf,73,
NIKE_2018_10K.pdf,data\FinanceBench\NIKE_2018_10K.pdf,97,
NIKE_2019_10K.pdf,data\FinanceBench\NIKE_2019_10K.pdf,104,
NIKE_2023_10K.pdf,data\FinanceBench\NIKE_2023_10K.pdf,106,
PAYPAL_2022_10K.pdf,data\FinanceBench\PAYPAL_2022_10K.pdf,134,
PEPSICO_2021_10K.pdf,data\FinanceBench\PEPSICO_2021_10K.pdf,549,
PEPSICO_2022_10K.pdf,data\FinanceBench\PEPSICO_2022_10K.pdf,503,
PEPSICO_2023_8K_dated-2023-05-05.pdf,data\FinanceBench\PEPSICO_2023_8K_dated-2023-05-05.pdf,5,
PEPSICO_2023_8K_dated-2023-05-30.pdf,data\FinanceBench\PEPSICO_2023_8K_dated-2023-05-30.pdf,172,
PEPSICO_2023Q1_EARNINGS.pdf,data\FinanceBench\PEPSICO_2023Q1_EARNINGS.pdf,16,
PFIZER_2021_10K.pdf,data\FinanceBench\PFIZER_2021_10K.pdf,143,
PFIZER_2023Q2_10Q.pdf,data\FinanceBench\PFIZER_2023Q2_10Q.pdf,72,
ULTABEAUTY_2023_10K.pdf,data\FinanceBench\ULTABEAUTY_2023_10K.pdf,105,
ULTABEAUTY_2023Q4_EARNINGS.pdf,data\FinanceBench\ULTABEAUTY_2023Q4_EARNINGS.pdf,9,
VERIZON_2021_10K.pdf,data\FinanceBench\VERIZON_2021_10K.pdf,120,
VERIZON_2022_10K.pdf,data\FinanceBench\VERIZON_2022_10K.pdf,124,
WALMART_2019_10K.pdf,data\FinanceBench\WALMART_2019_10K.pdf,155,
