pdf_file,pdf_path,page_count,error
AMERICANWATERWORKS_2020_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\AMERICANWATERWORKS_2020_10K.pdf,152,
AMERICANWATERWORKS_2021_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\AMERICANWATERWORKS_2021_10K.pdf,181,
AMERICANWATERWORKS_2022_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\AMERICANWATERWORKS_2022_10K.pdf,306,
BESTBUY_2017_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\BESTBUY_2017_10K.pdf,109,
BESTBUY_2019_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\BESTBUY_2019_10K.pdf,107,
BESTBUY_2023_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\BESTBUY_2023_10K.pdf,75,
BESTBUY_2024Q2_10Q.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\BESTBUY_2024Q2_10Q.pdf,30,
BLOCK_2016_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\BLOCK_2016_10K.pdf,121,
BLOCK_2020_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\BLOCK_2020_10K.pdf,158,
BOEING_2018_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\BOEING_2018_10K.pdf,136,
BOEING_2022_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\BOEING_2022_10K.pdf,190,
COCACOLA_2017_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\COCACOLA_2017_10K.pdf,197,
COCACOLA_2021_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\COCACOLA_2021_10K.pdf,183,
COCACOLA_2022_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\COCACOLA_2022_10K.pdf,183,
CORNING_2020_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\CORNING_2020_10K.pdf,138,
CORNING_2021_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\CORNING_2021_10K.pdf,125,
CORNING_2022_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\CORNING_2022_10K.pdf,159,
COSTCO_2021_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\COSTCO_2021_10K.pdf,76,
CVSHEALTH_2018_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\CVSHEALTH_2018_10K.pdf,392,
CVSHEALTH_2022_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\CVSHEALTH_2022_10K.pdf,213,
FOOTLOCKER_2022_8K_dated-2022-05-20.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\FOOTLOCKER_2022_8K_dated-2022-05-20.pdf,4,
FOOTLOCKER_2022_8K_dated_2022-08-19.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\FOOTLOCKER_2022_8K_dated_2022-08-19.pdf,31,
GENERALMILLS_2019_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\GENERALMILLS_2019_10K.pdf,140,
GENERALMILLS_2020_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\GENERALMILLS_2020_10K.pdf,127,
GENERALMILLS_2022_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\GENERALMILLS_2022_10K.pdf,127,
JOHNSON_JOHNSON_2022_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\JOHNSON_JOHNSON_2022_10K.pdf,151,
JOHNSON_JOHNSON_2022Q4_EARNINGS.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\JOHNSON_JOHNSON_2022Q4_EARNINGS.pdf,24,
JOHNSON_JOHNSON_2023_8K_dated-2023-08-30.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\JOHNSON_JOHNSON_2023_8K_dated-2023-08-30.pdf,27,
JOHNSON_JOHNSON_2023Q2_EARNINGS.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\JOHNSON_JOHNSON_2023Q2_EARNINGS.pdf,24,
JPMORGAN_2021Q1_10Q.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\JPMORGAN_2021Q1_10Q.pdf,179,
JPMORGAN_2022_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\JPMORGAN_2022_10K.pdf,382,
JPMORGAN_2022Q2_10Q.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\JPMORGAN_2022Q2_10Q.pdf,197,
JPMORGAN_2023Q2_10Q.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\JPMORGAN_2023Q2_10Q.pdf,217,
KRAFTHEINZ_2019_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\KRAFTHEINZ_2019_10K.pdf,152,
LOCKHEEDMARTIN_2020_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\LOCKHEEDMARTIN_2020_10K.pdf,132,
LOCKHEEDMARTIN_2021_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\LOCKHEEDMARTIN_2021_10K.pdf,136,
LOCKHEEDMARTIN_2022_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\LOCKHEEDMARTIN_2022_10K.pdf,130,
MGMRESORTS_2018_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\MGMRESORTS_2018_10K.pdf,188,
MGMRESORTS_2020_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\MGMRESORTS_2020_10K.pdf,150,
MGMRESORTS_2022_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\MGMRESORTS_2022_10K.pdf,220,
MGMRESORTS_2022Q4_EARNINGS.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\MGMRESORTS_2022Q4_EARNINGS.pdf,15,
MGMRESORTS_2023Q2_10Q.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\MGMRESORTS_2023Q2_10Q.pdf,62,
MICROSOFT_2016_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\MICROSOFT_2016_10K.pdf,121,
MICROSOFT_2023_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\MICROSOFT_2023_10K.pdf,116,
NETFLIX_2015_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\NETFLIX_2015_10K.pdf,72,
NETFLIX_2017_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\NETFLIX_2017_10K.pdf,73,
NIKE_2018_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\NIKE_2018_10K.pdf,97,
NIKE_2019_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\NIKE_2019_10K.pdf,104,
NIKE_2021_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\NIKE_2021_10K.pdf,109,
NIKE_2023_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\NIKE_2023_10K.pdf,106,
PAYPAL_2022_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\PAYPAL_2022_10K.pdf,134,
PEPSICO_2021_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\PEPSICO_2021_10K.pdf,549,
PEPSICO_2022_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\PEPSICO_2022_10K.pdf,503,
PEPSICO_2023_8K_dated-2023-05-05.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\PEPSICO_2023_8K_dated-2023-05-05.pdf,5,
PEPSICO_2023_8K_dated-2023-05-30.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\PEPSICO_2023_8K_dated-2023-05-30.pdf,172,
PEPSICO_2023Q1_EARNINGS.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\PEPSICO_2023Q1_EARNINGS.pdf,16,
PFIZER_2021_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\PFIZER_2021_10K.pdf,143,
Pfizer_2023Q2_10Q.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\Pfizer_2023Q2_10Q.pdf,72,
ULTABEAUTY_2023_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\ULTABEAUTY_2023_10K.pdf,105,
ULTABEAUTY_2023Q4_EARNINGS.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\ULTABEAUTY_2023Q4_EARNINGS.pdf,9,
VERIZON_2021_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\VERIZON_2021_10K.pdf,120,
VERIZON_2022_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\VERIZON_2022_10K.pdf,124,
WALMART_2018_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\WALMART_2018_10K.pdf,304,
WALMART_2019_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\WALMART_2019_10K.pdf,155,
WALMART_2020_10K.pdf,C:\Users\BenteVerhoef\OneDrive - Notilyze\Documenten\Thesis Bente\Data FinanceBench\WALMART_2020_10K.pdf,170,
